COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
192;N;21:30;22:50;1:20:00;80;#N/A;;;Frontal / Fueiro Malhal;28/01/2020;T2
2050430;S;22:50;23:10;0:20:00;20;12;1;;Frontal;28/01/2020;T2
2050640;S;23:11;0:04;0:53:00;53;30;2;;Fueiro Malhal;28/01/2020;T2
130;N;0:05;0:39;0:34:00;34;#N/A;;;;28/01/2020;T2
192;N;0:40;0:51;0:11:00;11;#N/A;;;;28/01/2020;T2
2050430;S;0:51;1:13;0:22:00;22;12;1;;Frontal;28/01/2020;T2
181;N;1:14;1:50;0:36:00;36;#N/A;1;;Fueiro Malhal;28/01/2020;T2
120;N;1:50;2:20;0:30:00;30;#N/A;;;;28/01/2020;T2
2050643;S;7:00;8:45;1:45:00;105;60;4;;Fueiro Malhal;29/01/2020;T1
192;N;8:45;9:10;0:25:00;25;#N/A;;;Regulagem dos Pontos;29/01/2020;T1
2049980;S;9:10;9:50;0:40:00;40;12;1;;Tampa Inf;29/01/2020;T1
192;N;9:50;10:15;0:25:00;25;#N/A;;;Tampa Inf;29/01/2020;T1
2047860;S;10:15;11:00;0:45:00;45;47;1;;Tampa Inf;29/01/2020;T1
160;N;11:00;11:20;0:20:00;20;#N/A;;;;29/01/2020;T1
192;N;11:20;11:40;0:20:00;20;#N/A;2;;Tampa Inf;29/01/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;29/01/2020;T1
2050643;S;12:50:00;14:10;1:20:00;80;30;2;;Fueiro Malhal;29/01/2020;T1
202;N;14:10;14:40;0:30:00;30;#N/A;;;;29/01/2020;T1
192;N;14:40;15:00;0:20:00;20;#N/A;;;Fueiro Malhal;29/01/2020;T1
2040430;S;15:00;15:30;0:30:00;30;28;1;;Frontal Premium;29/01/2020;T1
192;N;15:30;15:45;0:15:00;15;#N/A;;;;29/01/2020;T1
2047860;S;15:45;16:45;1:00:00;60;47;1;;Tampa Inf;29/01/2020;T1
120;N;16:45;17:10;0:25:00;25;#N/A;;;;29/01/2020;T1
201;N;17:00;18:40;1:40:00;100;#N/A;;;;29/01/2020;T2
192;N;18:40;19:03;0:23:00;23;#N/A;;;;29/01/2020;T2
2050430;S;19:03;19:27;0:24:00;24;12;1;;Frontal;29/01/2020;T2
201;N;19:27;22:01;2:34:00;154;#N/A;;;;29/01/2020;T2
192;N;22:01;22:16;0:15:00;15;#N/A;;;;29/01/2020;T2
2049697;S;22:17;22:51;0:34:00;34;52;1;;Frontal;29/01/2020;T2
201;N;22:52;23:30;0:38:00;38;#N/A;;;;29/01/2020;T2
192;N;23:31;0:10;0:39:00;39;#N/A;;;;29/01/2020;T2
2047860;S;0:11;1:00;0:49:00;49;47;1;;;29/01/2020;T2
192;N;1:00;1:30;0:30:00;30;#N/A;;;;29/01/2020;T2
2049980;S;1:31;2:10;0:39:00;39;12;1;;;29/01/2020;T2
170;N;7:00;7:10;0:10:00;10;#N/A;;;Retirada Tampa e Frontd Gabarito;30/01/2020;T1
202;N;7:10;8:00;0:50:00;50;#N/A;;;Tampa Inf. Montagem;30/01/2020;T1
192;N;8:00;8:30;0:30:00;30;#N/A;;;Regulagem Ponto Solda;30/01/2020;T1
2047860;S;8:30;9:45;1:15:00;75;47;1;;Regulagem Ponto Solda;30/01/2020;T1
192;N;9:45;10:15;0:30:00;30;#N/A;;;Regulagem Ponto Solda Frontal;30/01/2020;T1
2050430;S;10:15;10:40;0:25:00;25;12;1;;Frontal Premium;30/01/2020;T1
203;N;10:40;11:10;0:30:00;30;#N/A;;;Barrote;30/01/2020;T1
192;N;11:10;11:40;0:30:00;30;#N/A;;;Programação Barrote Pequeno;30/01/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;30/01/2020;T1
192;N;12:50;13:30;0:40:00;40;#N/A;;;Programado Barrote e Pontos Frontal;30/01/2020;T1
2049165;S;13:30;14:00;0:30:00;30;45;1;;Frontal Premium;30/01/2020;T1
2008164;S;14:00;15:05;1:05:00;65;42;8;;Barrote;30/01/2020;T1
192;N;15:05;15:50;0:45:00;45;#N/A;;;Regulagem Pontos Tampa Inf;30/01/2020;T1
2035284;S;15:50;16:30;0:40:00;40;48;1;;Tampa Lateral Inf.;30/01/2020;T1
192;N;16:30;16:45;0:15:00;15;#N/A;;;Regulgem Pontos Frontal Premium;30/01/2020;T1
2007720;S;16:45;17:10;0:25:00;25;6;1;;Frontal Premium;30/01/2020;T1
201;N;17:00;19:20;2:20:00;140;#N/A;;;;30/01/2020;T2
192;N;19:20;20:30;1:10:00;70;#N/A;;;Barrote;30/01/2020;T2
182;N;20:30;21:30;1:00:00;60;#N/A;;;;30/01/2020;T2
192;N;21:30:00;22:05;0:35:00;35;#N/A;;;Frontal;30/01/2020;T2
