COD;Agrega Valor;Horário Inicial;Horário final;TEMPO;TEMPO (MIN);TEMPO(ROT);Qtd peças conformes;Qtd peças não conformes;Observações;Data;Turno
10;N;16:23;16:32;0:09:00;9;#N/A;;;;13/02/2020;T1
120;N;16:32;17:10;0:38:00;38;#N/A;;;;13/02/2020;T1
191;N;17:00;19:40;2:40:00;160;#N/A;;;Sem peças p/ soldar;13/02/2020;T2
192;N;19:40;20:30;0:50:00;50;#N/A;;;;13/02/2020;T2
180;N;20:30;21:30;1:00:00;60;#N/A;;;janta;13/02/2020;T2
2050091;S;21:30;22:10;0:40:00;40;80;1;;Porta lateral;13/02/2020;T2
192;N;22:10;22:28;0:18:00;18;#N/A;;;Frontal Premium;13/02/2020;T2
2050430;S;22:28;22:47;0:19:00;19;12;1;;Frontal Premium;13/02/2020;T2
192;N;22:47;23:06;0:19:00;19;#N/A;;;;13/02/2020;T2
2050430;S;23:06;23:25;0:19:00;19;12;1;;Frontal Premium;13/02/2020;T2
191;N;23:25;2:12;2:47:00;167;#N/A;;;;;
40;N;7:00;7:10;0:10:00;10;#N/A;;;Retirada Peças gabarito;14/02/2020;T1
11;N;7:10;7:45;0:35:00;35;#N/A;;;S/ PCs para soldar;14/02/2020;T1
192;N;7:45;8:08;0:23:00;23;#N/A;;;Programa novo porta traseira;14/02/2020;T1
2049165;S;8:08;8:25;0:17:00;17;45;1;;Solda Porta traseira;14/02/2020;T1
40;N;8:25;8:40;0:15:00;15;#N/A;;;Retirada porta gabarito  esperando telha;14/02/2020;T1
10;N;8:40;8:45;0:05:00;5;#N/A;;;Colocar Pç porta gabarito;14/02/2020;T1
192;N;8:45;9:00;0:15:00;15;#N/A;;;Setup Porta traseira BTT;14/02/2020;T1
2040369;S;9:00;9:15;0:15:00;15;21;1;;Solda porta;14/02/2020;T1
2047860;S;9:15;9:30;0:15:00;15;47;1;;Solda porta lateral;14/02/2020;T1
192;N;9:30;9:36;0:06:00;6;#N/A;;;Setup porta traseira;14/02/2020;T1
2049165;S;9:36;9:52;0:16:00;16;45;1;;Solda porta traseira;14/02/2020;T1
11;N;9:52;10:30;0:38:00;38;#N/A;;;S/ Pç Porta Soldar;14/02/2020;T1
2008164;S;10:30;11:40;1:10:00;70;5;1;;Montagem barrote;14/02/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;14/02/2020;T1
192;N;12:50;13:20;0:30:00;30;#N/A;;;Setup frontal premium;14/02/2020;T1
2050430;S;13:20;13:46;0:26:00;26;12;1;;Solda frontal premium;14/02/2020;T1
40;N;13:46;13:53;0:07:00;7;#N/A;;;Retirada Peças gabarito;14/02/2020;T1
10;N;13:53;14:00;0:07:00;7;#N/A;;;colocação peças gabarito;14/02/2020;T1
192;N;14:00;14:30;0:30:00;30;#N/A;;;Programação nova frontal premium;14/02/2020;T1
2050430;S;14:30;14:55;0:25:00;25;12;1;;Solda frontal premium;14/02/2020;T1
192;N;14:55;15:15;0:20:00;20;#N/A;;;Setup Frontal lateral;14/02/2020;T1
2047860;S;15:15;15:53;0:38:00;38;47;1;;Solda porta lateral;14/02/2020;T1
120;N;15:53;16:10;0:17:00;17;#N/A;;;Limpeza setor;14/02/2020;T1
192;N;16:00;16:11;0:11:00;11;#N/A;;;Setup;14/02/2020;T2
2031442;S;16:11;16:22;0:11:00;11;39;1;;Porta traseira;14/02/2020;T2
192;N;16:22;16:32;0:10:00;10;#N/A;;;;14/02/2020;T2
2036259;S;16:32;16:43;0:11:00;11;21;1;;Porta traseira;14/02/2020;T2
130;N;16:43;17:30;0:47:00;47;#N/A;;;;14/02/2020;T2
192;N;17:30;17:51;0:21:00;21;#N/A;;;;14/02/2020;T2
2049980;S;17:51;18:14;0:23:00;23;12;1;;Frontal premium;14/02/2020;T2
192;N;18:14;18:33;0:19:00;19;#N/A;;;;14/02/2020;T2
2049980;S;18:33;18:52;0:19:00;19;12;1;;Frontal premium;14/02/2020;T2
192;N;18:52;19:08;0:16:00;16;#N/A;;;Setup;14/02/2020;T2
2050430;S;19:08;19:27;0:19:00;19;12;1;;Frontal premium;14/02/2020;T2
160;N;19:27;20:00;0:33:00;33;#N/A;;;Esperando ponte rolante;14/02/2020;T2
180;N;20:00;21:00;1:00:00;60;#N/A;;;Refeição;14/02/2020;T2
192;N;21:00;21:15;0:15:00;15;#N/A;;;Setup;14/02/2020;T2
2038463;S;21:15;21:34;0:19:00;19;39;1;;Porta traseira;14/02/2020;T2
191;N;21:34;23:50;2:16:00;136;#N/A;;;Sem peças pra soldar;14/02/2020;T2
192;N;23:50;0:08;0:18:00;18;#N/A;;;Setup;14/02/2020;T2
2050430;S;0:08;0:27;0:19:00;19;12;1;;Frontal premium;14/02/2020;T2
191;N;0:27;2:12;1:45:00;105;#N/A;;;;;
2008164;S;7:00;7:30;0:30:00;30;5;1;;Montagem Barrote;17/02/2020;T1
2008164;S;7:30;8:20;0:50:00;50;42;8;;Solda Barrote;17/02/2020;T1
192;N;8:20;9:00;0:40:00;40;#N/A;;;Setup porta lateral inferior;17/02/2020;T1
2047860;S;9:00;9:55;0:55:00;55;47;1;;Solda porta lateral inferior;17/02/2020;T1
192;N;9:55;10:00;0:05:00;5;#N/A;;;Setup porta traseira 2036259;17/02/2020;T1
2036259;S;10:00;10:10;0:10:00;10;21;1;;Solda porta traseira 2036259;17/02/2020;T1
2008164;S;10:10;10:36;0:26:00;26;42;8;;Solda 2 ladp do barrote;17/02/2020;T1
192;N;10:36;11:00;0:24:00;24;#N/A;;;Setup porta traseira 2039181;17/02/2020;T1
2039181;S;11:00;11:16;0:16:00;16;5;1;;Solda porta traseira 2039181;17/02/2020;T1
192;N;11:16;11:45;0:29:00;29;#N/A;;;Setup tampa lateral 2047860;17/02/2020;T1
180;N;11:45;12:55;1:10:00;70;#N/A;;;Almoço;17/02/2020;T1
192;N;12:55;13:10;0:15:00;15;#N/A;;;Setup frontal premium;17/02/2020;T1
2049065;S;13:10;13:37;0:27:00;27;45;1;;Solda frontal premium;17/02/2020;T1
2047860;S;13:37;14:29;0:52:00;52;47;1;;Solda porta lateral;17/02/2020;T1
192;N;14:29;14:36;0:07:00;7;#N/A;;;Setup frontal 2049980;17/02/2020;T1
2049980;S;14:36;15:10;0:34:00;34;12;1;;Solda frontal 2049980;17/02/2020;T1
192;N;15:10;15:39;0:29:00;29;#N/A;;;Setup Barrote 2034335;17/02/2020;T1
2034335;S;15:39;16:10;0:31:00;31;64;8;;Solda barrote 2034335;17/02/2020;T1
192;N;16:10;16:15;0:05:00;5;#N/A;1;;Setup frontal;17/02/2020;T1
2048374;S;16:15;17:00;0:45:00;45;45;1;;Solda frontal;17/02/2020;T1
191;N;17:00;18:10;1:10:00;70;#N/A;;;Sem peças pra soldar;17/02/2020;T1
192;N;18:10;18:26;0:16:00;16;#N/A;;;;17/02/2020;T1
2049980;S;18:26;18:47;0:21:00;21;12;1;;;17/02/2020;T1
191;N;18:47;20:30;1:43:00;103;#N/A;;;Sem peças pra soldar;17/02/2020;T1
180;N;20:30;21:30;1:00:00;60;#N/A;;;Refeição;17/02/2020;T2
192;N;21:30;22:02;0:32:00;32;#N/A;;;Setup;17/02/2020;T2
2047860;S;22:02;22:45;0:43:00;43;47;1;;Porta lateral;17/02/2020;T2
160;N;22:45;23:05;0:20:00;20;#N/A;;;Ponte rolante indisponível;17/02/2020;T2
192;N;23:05;23:22;0:17:00;17;#N/A;;;Setup;17/02/2020;T2
2050430;S;23:22;23:43;0:21:00;21;12;1;;;17/02/2020;T2
SA.;S;23:43;2:12;2:29:00;149;#N/A;;;;;
200;N;7:00;7:40;0:40:00;40;#N/A;;;Terça da qualidade;18/02/2020;T1
192;N;7:40;7:50;0:10:00;10;#N/A;;;Setup porta traseira;18/02/2020;T1
2049165;S;7:50;8:05;0:15:00;15;45;1;;Solda porta traseira;18/02/2020;T1
191;N;8:05;9:15;1:10:00;70;#N/A;;;Sem peças pra soldar;18/02/2020;T1
2008164;S;9:15;9:30;0:15:00;15;5;1;;Montagem barrote 2008164;18/02/2020;T1
2008164;S;9:30;10:20;0:50:00;50;42;8;;Solda barrote 2008164;18/02/2020;T1
191;N;10:20;11:40;1:20:00;80;#N/A;;;Sem peças pra soldar;18/02/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;18/02/2020;T1
2008164;S;12:50;13:40;0:50:00;50;42;8;;Solda barrote 2 lado;18/02/2020;T1
192;N;13:40;14:00;0:20:00;20;#N/A;;;Setup tampa traseira;18/02/2020;T1
2041332;S;14:00;14:15;0:15:00;15;45;1;;Solda tampa traseira;18/02/2020;T1
40;N;14:15;14:20;0:05:00;5;#N/A;;;Retirada peças gabarito;18/02/2020;T1
10;N;14:20;14:28;0:08:00;8;#N/A;;;Colocação das peças gabarito;18/02/2020;T1
192;N;14:28;14:45;0:17:00;17;#N/A;;;Setup frontal 2050430;18/02/2020;T1
2050430;S;14:45;15:00;0:15:00;15;12;1;;Solda frontal 2050430;18/02/2020;T1
192;N;15:00;15:10;0:10:00;10;#N/A;;;Setup frontal 2050430;18/02/2020;T1
2049980;S;15:10;16:00;0:50:00;50;12;1;;Solda frontal 2050430;18/02/2020;T1
192;N;16:00;16:35;0:35:00;35;#N/A;;;Setup frontal 2049980;18/02/2020;T1
2049980;S;16:35;16:55;0:20:00;20;12;1;;Solda frontal;18/02/2020;T1
120;N;16:55;17:00;0:05:00;5;#N/A;;;Limpeza no setor;18/02/2020;T1
160;N;17:00;17:25;0:25:00;25;#N/A;;;Ponte rolante indisponível;18/02/2020;T2
192;N;17:25;17:50;0:25:00;25;#N/A;;;Setup;18/02/2020;T2
2049980;S;17:50;18:11;0:21:00;21;12;1;;Frontal;18/02/2020;T2
160;N;18:11;18:23;0:12:00;12;#N/A;;;Ponte rolante indisponível;18/02/2020;T2
192;N;18:23;18:39;0:16:00;16;#N/A;;;Setup;18/02/2020;T2
2050430;S;18:39;19:01;0:22:00;22;12;1;;Frontal;18/02/2020;T2
191;N;19:01;20:30;1:29:00;89;#N/A;;;Sem peças pra soldar;18/02/2020;T2
180;N;20:30;21:30;1:00:00;60;#N/A;;;Refeição;18/02/2020;T2
192;N;21:30;21:54;0:24:00;24;#N/A;;;Setup;18/02/2020;T2
2030597;S;21:54;22:05;0:11:00;11;3;1;;Porta;18/02/2020;T2
160;N;22:05;22:28;0:23:00;23;#N/A;;;Ponte rolante indisponível;18/02/2020;T2
192;N;22:28;22:45;0:17:00;17;#N/A;;;Setup;18/02/2020;T2
2037855;S;22:45;22:57;0:12:00;12;40;1;;Porta;18/02/2020;T2
192;N;22:57;23:36;0:39:00;39;#N/A;;;Setup;18/02/2020;T2
2047860;S;23:36;0:17;0:41:00;41;47;1;;Porta lateral;18/02/2020;T2
160;N;0:17;0:29;0:12:00;12;#N/A;;;Ponte rolante indisponível;18/02/2020;T2
192;N;0:29;0:51;0:22:00;22;#N/A;;;Setup;18/02/2020;T2
2050430;S;0:50;1:12;0:22:00;22;12;1;;Frontal;18/02/2020;T2
191;N;1:12;2:05;0:53:00;53;#N/A;;;Sem peças pra soldar;18/02/2020;T2
120;N;2:05;2:12;0:07:00;7;#N/A;;;Limpeza no setor;18/02/2020;T2
182;N;7:00;7:10;0:10:00;10;#N/A;;;Sobre vale alimentação;19/02/2020;T1
10;N;7:10;7:20;0:10:00;10;#N/A;;;Peças no gabarito;19/02/2020;T1
192;N;7:20;7:45;0:25:00;25;#N/A;;;Setup frontal 2050430;19/02/2020;T1
2050430;S;7:45;8:00;0:15:00;15;12;1;;Solda frontal 2050430;19/02/2020;T1
40;N;8:00;8:10;0:10:00;10;#N/A;;;Retirada frontal e barrote gabarito;19/02/2020;T1
10;N;8:10;8:20;0:10:00;10;#N/A;;;Colocação frontal e barrote gabarito;19/02/2020;T1
160;N;8:20;8:40;0:20:00;20;#N/A;;;Em uso;19/02/2020;T1
10;N;8:40;9:00;0:20:00;20;#N/A;;;Abastecimento;19/02/2020;T1
192;N;9:00;9:10;0:10:00;10;#N/A;;;Setup porta traseira 2036259;19/02/2020;T1
2036259;S;9:10;9:35;0:25:00;25;21;1;;Solda porta traseira 2036259;19/02/2020;T1
192;N;9:35;10:10;0:35:00;35;#N/A;;;Setup porta lateral 2047860;19/02/2020;T1
2047860;S;10:10;10:55;0:45:00;45;47;1;;Solda porta lateral;19/02/2020;T1
192;N;10:55;11:05;0:10:00;10;#N/A;;;Setup porta traseira;19/02/2020;T1
2049165;S;11:05;11:25;0:20:00;20;45;1;;Solda porta traseira;19/02/2020;T1
2008164;S;11:25;11:40;0:15:00;15;5;1;;Montagem barrote;19/02/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;19/02/2020;T1
40;N;12:50;13:00;0:10:00;10;#N/A;;;Retirada peças gabarito;19/02/2020;T1
10;N;13:00;13:10;0:10:00;10;#N/A;;;Reposição peças gabarito;19/02/2020;T1
192;N;13:10;13:30;0:20:00;20;#N/A;;;Setup frontal premium;19/02/2020;T1
2050430;S;13:30;13:55;0:25:00;25;12;1;;Solda frontal premium;19/02/2020;T1
40;N;13:55;14:05;0:10:00;10;#N/A;;;Retirada frontal premium;19/02/2020;T1
10;N;14:05;14:10;0:05:00;5;#N/A;;;Reposição tampa traseira;19/02/2020;T1
192;N;14:10;14:15;0:05:00;5;#N/A;;;Setup tampa traseira;19/02/2020;T1
2039181;S;14:15;14:33;0:18:00;18;5;1;;Solda tampa traseira;19/02/2020;T1
160;N;14:33;14:55;0:22:00;22;#N/A;;;Em uso;19/02/2020;T1
192;N;14:55;15:15;0:20:00;20;#N/A;;;Setup frontal 2049980;19/02/2020;T1
2049980;S;15:15;15:34;0:19:00;19;12;1;;Solda;19/02/2020;T1
181;N;15:34;15:50;0:16:00;16;#N/A;;;;19/02/2020;T1
40;N;15:50;16:05;0:15:00;15;#N/A;;;Retirada frontal gabarito;19/02/2020;T1
10;N;16:05;16:15;0:10:00;10;#N/A;;;Reposição tampa traseira;19/02/2020;T1
192;N;16:15;16:25;0:10:00;10;#N/A;;;Setup tampa traseira;19/02/2020;T1
2039182;S;16:25;17:00;0:35:00;35;47;1;;Solda tampa traseira;19/02/2020;T1
120;N;17:00;17:00;0:00:00;0;#N/A;;;Limpeza no setor;19/02/2020;T1
160;N;17:00;17:19;0:19:00;19;#N/A;;;;19/02/2020;T2
192;N;17:19;17:48;0:29:00;29;#N/A;;;;19/02/2020;T2
2041332;S;17:48;18:03;0:15:00;15;45;1;;Porta traseira;19/02/2020;T2
160;N;18:03;18:17;0:14:00;14;#N/A;;;;19/02/2020;T2
192;N;18:17;18:35;0:18:00;18;#N/A;;;;19/02/2020;T2
2049980;S;18:35;18:57;0:22:00;22;12;1;;Frontal premium;19/02/2020;T2
160;N;18:57;19:10;0:13:00;13;#N/A;;;;19/02/2020;T2
192;N;19:10;19:23;0:13:00;13;#N/A;;;;19/02/2020;T2
2049065;S;19:23;19:35;0:12:00;12;45;1;;Porta traseira;19/02/2020;T2
160;N;19:35;20:36;1:01:00;61;#N/A;;;;19/02/2020;T2
192;N;21:30;21:47;0:17:00;17;#N/A;;;;19/02/2020;T2
2036259;S;21:47;22:00;0:13:00;13;21;1;;Porta traseira;19/02/2020;T2
181;N;22:00;22:55;0:55:00;55;#N/A;;;;19/02/2020;T2
160;N;22:55;23:10;0:15:00;15;#N/A;;;;19/02/2020;T2
192;N;23:10;23:24;0:14:00;14;#N/A;;;;19/02/2020;T2
2050102;S;23:24;23:37;0:13:00;13;45;1;;Porta traseira;19/02/2020;T2
160;N;23:37;0:23;0:46:00;46;#N/A;;;;19/02/2020;T2
192;N;0:23;0:40;0:17:00;17;#N/A;;;;19/02/2020;T2
2050430;S;0:40;1:02;0:22:00;22;12;1;;Frontal premium;19/02/2020;T2
192;N;1:02;1:17;0:15:00;15;#N/A;;;;19/02/2020;T2
2049165;S;1:17;1:30;0:13:00;13;45;1;;Porta traseira;19/02/2020;T2
SA.;S;1:30;2:12;0:42:00;42;#N/A;;;;;
192;N;7:00;7:15;0:15:00;15;#N/A;;;Setup frontal 2049980;19/02/2020;T1
2049980;S;7:15;7:42;0:27:00;27;12;1;;Solda frontal 2049980;19/02/2020;T1
192;N;7:42;8:00;0:18:00;18;#N/A;;;Setup frontal 01693;19/02/2020;T1
2049980;S;8:00;8:30;0:30:00;30;12;1;;Solda frontal 2049980;19/02/2020;T1
40;N;8:30;8:40;0:10:00;10;#N/A;;;Retirada peças gabarito;19/02/2020;T1
10;N;8:40;9:00;0:20:00;20;#N/A;;;Reposição peças gabarito;19/02/2020;T1
192;N;9:00;9:20;0:20:00;20;#N/A;;;Setup porta traseira 2036259;19/02/2020;T1
2036259;S;9:20;9:34;0:14:00;14;21;1;;Solda porta traseira 2036259;19/02/2020;T1
40;N;9:34;9:50;0:16:00;16;#N/A;;;Retirada porta gabarito;19/02/2020;T1
2008164;S;9:50;10:15;0:25:00;25;42;8;;Solda barrote;19/02/2020;T1
160;N;10:15;10:30;0:15:00;15;#N/A;;;Em uso;19/02/2020;T1
130;N;10:30;11:40;1:10:00;70;#N/A;;;Em manutenção;19/02/2020;T1
180;N;11:40;12:50;1:10:00;70;#N/A;;;Almoço;19/02/2020;T1
130;N;12:50;14:00;1:10:00;70;#N/A;;;Em manutenção;19/02/2020;T1
192;N;14:00;14:10;0:10:00;10;#N/A;;;Setup barrote 2008164;19/02/2020;T1
2008164;S;14:10;15:10;1:00:00;60;42;8;;Solda barrote 2008164;19/02/2020;T1
192;N;15:10;15:30;0:20:00;20;#N/A;;;Programação parachoque tanque;19/02/2020;T1
SA.;S;15:30;16:00;0:30:00;30;#N/A;1;;Solda parachoque tanque;19/02/2020;T1
192;N;16:00;16:30;0:30:00;30;#N/A;;;Programação parachoque tanque;19/02/2020;T1
SA.;S;16:30;16:55;0:25:00;25;#N/A;4;;Solda parachoque tanque;19/02/2020;T1
120;N;16:55;17:10;0:15:00;15;#N/A;;;;19/02/2020;T1
SA.;S;17:10;18:54;1:44:00;104;#N/A;;;;;
192;N;18:54;19:13;0:19:00;19;#N/A;;;;20/02/2020;T2
SA.;S;19:13;19:50;0:37:00;37;#N/A;2;;Parachoque tanque;20/02/2020;T2
192;N;19:50;20:09;0:19:00;19;#N/A;;;;20/02/2020;T2
SA.;S;20:09;20:30;0:21:00;21;#N/A;1;;Parachoque tanque;20/02/2020;T2
180;N;20:30;21:30;1:00:00;60;#N/A;;;;20/02/2020;T2
192;N;21:30;21:45;0:15:00;15;#N/A;;;;20/02/2020;T2
SA.;S;21:45;22:00;0:15:00;15;#N/A;1;;Parachoque tanque;20/02/2020;T2
192;N;22:00;22:16;0:16:00;16;#N/A;;;;20/02/2020;T2
2050430;S;22:16;22:37;0:21:00;21;12;1;;Frontal;20/02/2020;T2
192;N;22:37;23:46;1:09:00;69;#N/A;;;;20/02/2020;T2
SA.;S;23:46;0:14;0:28:00;28;#N/A;2;;Florestal;20/02/2020;T2
160;N;0:14;0:40;0:26:00;26;#N/A;;;;20/02/2020;T2
192;N;0:40;1:00;0:20:00;20;#N/A;;;;20/02/2020;T2
SA.;S;1:00;1:28;0:28:00;28;#N/A;2;;Fueiro florestal;20/02/2020;T2
192;N;1:28;1:48;0:20:00;20;#N/A;;;;20/02/2020;T2
2050430;S;1:48;2:09;0:21:00;21;12;1;;Frontal;20/02/2020;T2
